agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255366016,3319774074512250,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",19,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255366592,3319774650673375,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",20,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255366899,3319774957493708,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",21,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367257,3319775315268333,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",22,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367588,3319775646749166,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",23,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255367870,3319775928163625,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",24,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368114,3319776172235208,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",25,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368381,3319776440071583,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",26,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255368734,3319776792375958,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",27,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255369023,3319777081404416,1787255479613,"agent-session-1787255276922-1412525859096521706715300069754288583200-1",28,"telemetry-1787255479611-157881937632650225126435942743495107879-5","drone-2",-35.3632621,149.16593700000001,0.00300000003,100,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
