agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255452086,3319860144160083,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",19,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255452292,3319860349912916,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",20,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255452526,3319860583395416,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",21,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255452755,3319860812564916,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",22,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255452957,3319861015279791,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",23,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255453159,3319861217292625,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",24,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255453394,3319861452102541,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",25,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255453660,3319861717753666,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",26,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255453944,3319862002146541,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",27,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255454247,3319862305098500,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",28,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255454622,3319862680271875,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",29,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255454852,3319862910004208,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",30,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255455216,3319863273801833,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",31,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255455448,3319863506244000,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",32,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255455707,3319863764535583,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",33,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255455930,3319863987686125,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",34,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,68,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255456195,3319864252491791,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",35,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255456600,3319864658050875,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",36,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5.00099993,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255457002,3319865060299625,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",37,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255457243,3319865300842708,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",38,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255457677,3319865735044958,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",39,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255457925,3319865982472333,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",40,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255458292,3319866349700666,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",41,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255458654,3319866711717291,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",42,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
