agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787254341330,3318749419471458,1787254341330,"agent-session-1787254287932-168748515603783403383293407030147960894-1",1,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341532,3318749621417125,1787254341532,"agent-session-1787254287932-168748515603783403383293407030147960894-1",2,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341732,3318749821528375,1787254341732,"agent-session-1787254287932-168748515603783403383293407030147960894-1",3,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341938,3318750027462791,1787254341938,"agent-session-1787254287932-168748515603783403383293407030147960894-1",4,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342143,3318750232427833,1787254342143,"agent-session-1787254287932-168748515603783403383293407030147960894-1",5,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342350,3318750440167041,1787254342350,"agent-session-1787254287932-168748515603783403383293407030147960894-1",6,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342572,3318750661571708,1787254342572,"agent-session-1787254287932-168748515603783403383293407030147960894-1",7,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342929,3318751018390583,1787254342929,"agent-session-1787254287932-168748515603783403383293407030147960894-1",8,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261999999999,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343177,3318751266379875,1787254343177,"agent-session-1787254287932-168748515603783403383293407030147960894-1",9,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261899999998,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343385,3318751475195416,1787254343386,"agent-session-1787254287932-168748515603783403383293407030147960894-1",10,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261899999998,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343621,3318751710463791,1787254343621,"agent-session-1787254287932-168748515603783403383293407030147960894-1",11,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261899999998,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343968,3318752057348708,1787254343968,"agent-session-1787254287932-168748515603783403383293407030147960894-1",12,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261899999998,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254344194,3318752283436791,1787254344194,"agent-session-1787254287932-168748515603783403383293407030147960894-1",13,"telemetry-1787254341258-79426497047056582278644667844957744635-6","drone-1",-35.363261899999998,149.1652369,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
