agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787254341416,3318749506072375,1787254341416,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",1,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341630,3318749720210166,1787254341631,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",2,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342048,3318750137539583,1787254342048,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",3,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342378,3318750468111083,1787254342378,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",4,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342591,3318750680812958,1787254342591,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",5,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342968,3318751057854625,1787254342968,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",6,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343177,3318751267011375,1787254343177,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",7,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343392,3318751481356458,1787254343392,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",8,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343627,3318751716648375,1787254343627,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",9,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343985,3318752075230666,1787254343986,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",10,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254344217,3318752306972500,1787254344217,"agent-session-1787254311673-1370765649477500705416480579790463208499-1",11,"telemetry-1787254341258-79426497047056582278644667844957744635-2","drone-3",-35.363261999999999,149.16663679999999,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
