agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787254341329,3318749419160666,1787254341330,"agent-session-1787254300805-85760406278769321867702975503813816948-1",1,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261999999999,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341732,3318749821591250,1787254341732,"agent-session-1787254300805-85760406278769321867702975503813816948-1",2,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261999999999,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254341937,3318750026729166,1787254341937,"agent-session-1787254300805-85760406278769321867702975503813816948-1",3,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261999999999,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342142,3318750231326708,1787254342142,"agent-session-1787254300805-85760406278769321867702975503813816948-1",4,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342348,3318750437377500,1787254342348,"agent-session-1787254300805-85760406278769321867702975503813816948-1",5,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342572,3318750661622416,1787254342572,"agent-session-1787254300805-85760406278769321867702975503813816948-1",6,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254342824,3318750913904708,1787254342824,"agent-session-1787254300805-85760406278769321867702975503813816948-1",7,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343109,3318751199032916,1787254343109,"agent-session-1787254300805-85760406278769321867702975503813816948-1",8,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343310,3318751399732291,1787254343310,"agent-session-1787254300805-85760406278769321867702975503813816948-1",9,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343621,3318751710350750,1787254343621,"agent-session-1787254300805-85760406278769321867702975503813816948-1",10,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254343893,3318751983226041,1787254343894,"agent-session-1787254300805-85760406278769321867702975503813816948-1",11,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
1787254344194,3318752283598583,1787254344194,"agent-session-1787254300805-85760406278769321867702975503813816948-1",12,"telemetry-1787254341258-79426497047056582278644667844957744635-5","drone-2",-35.363261899999998,149.1659368,-0.00600000005,100,"STABILIZE",6,1.21000004,0.300000012,2,"",0,"",0,""
