scenario,sample_index,request_certificate_serialize_latency_us
normal_moving_flight,162,963.20799999999997
normal_moving_flight,163,954.70799999999997
normal_moving_flight,164,973.25
normal_moving_flight,165,983.5
normal_moving_flight,166,962.45899999999995
normal_moving_flight,167,987.83399999999995
normal_moving_flight,168,959.875
normal_moving_flight,169,940.79200000000003
normal_moving_flight,170,947.33299999999997
normal_moving_flight,171,940.83299999999997
normal_moving_flight,172,979.83299999999997
normal_moving_flight,173,952.33299999999997
normal_moving_flight,174,968.83299999999997
normal_moving_flight,175,962.33299999999997
normal_moving_flight,176,927.875
normal_moving_flight,177,981.41700000000003
normal_moving_flight,178,1032.1669999999999
normal_moving_flight,179,1008.75
normal_moving_flight,180,1007.75
normal_moving_flight,181,1032.625
normal_moving_flight,182,1001.833
normal_moving_flight,183,1016.333
normal_moving_flight,184,1011.5410000000001
normal_moving_flight,185,1008
normal_moving_flight,186,996.125
normal_moving_flight,187,1004.875
normal_moving_flight,188,1016
normal_moving_flight,189,1038.7080000000001
normal_moving_flight,190,1002.542
normal_moving_flight,191,1070.9159999999999
normal_moving_flight,192,1051.5419999999999
normal_moving_flight,193,1077.2919999999999
normal_moving_flight,194,1078.9580000000001
normal_moving_flight,195,1090.2080000000001
normal_moving_flight,196,1039.8330000000001
normal_moving_flight,197,1074.2919999999999
normal_moving_flight,198,1061.5409999999999
normal_moving_flight,199,1076.4580000000001
delayed_telemetry,0,282.959
delayed_telemetry,1,279.04199999999997
delayed_telemetry,2,293.79199999999997
delayed_telemetry,3,321.875
delayed_telemetry,4,296.08300000000003
delayed_telemetry,5,315.625
delayed_telemetry,6,308.75
delayed_telemetry,7,273.375
delayed_telemetry,8,300.875
delayed_telemetry,9,274.875
delayed_telemetry,10,304.33300000000003
delayed_telemetry,11,306.91699999999997
delayed_telemetry,12,324.33300000000003
delayed_telemetry,13,342.166
delayed_telemetry,14,328
delayed_telemetry,15,327.04199999999997
delayed_telemetry,16,327
delayed_telemetry,17,307.709
delayed_telemetry,18,307.58300000000003
delayed_telemetry,19,299.5
delayed_telemetry,20,314.5
delayed_telemetry,21,309.79199999999997
delayed_telemetry,22,301.416
delayed_telemetry,23,378.45800000000003
delayed_telemetry,24,352.25
delayed_telemetry,25,354.416
delayed_telemetry,26,361
delayed_telemetry,27,359.625
delayed_telemetry,28,367.584
delayed_telemetry,29,350.54199999999997
delayed_telemetry,30,369.375
delayed_telemetry,31,360.5
delayed_telemetry,32,379.125
delayed_telemetry,33,364.45800000000003
delayed_telemetry,34,375.95800000000003
delayed_telemetry,35,383.29199999999997
delayed_telemetry,36,389.959
delayed_telemetry,37,405.16699999999997
delayed_telemetry,38,393.33300000000003
delayed_telemetry,39,388.45800000000003
delayed_telemetry,40,405.5
delayed_telemetry,41,391.25
delayed_telemetry,42,404.95800000000003
delayed_telemetry,43,396.08300000000003
delayed_telemetry,44,402.625
delayed_telemetry,45,410.29199999999997
delayed_telemetry,46,427.875
delayed_telemetry,47,440.16699999999997
delayed_telemetry,48,461.459
delayed_telemetry,49,429.91699999999997
delayed_telemetry,50,294.45800000000003
delayed_telemetry,51,318.541
delayed_telemetry,52,300.375
delayed_telemetry,53,307.33300000000003
delayed_telemetry,54,311.54199999999997
delayed_telemetry,55,294.79199999999997
delayed_telemetry,56,305.166
delayed_telemetry,57,306.79199999999997
delayed_telemetry,58,309.33300000000003
delayed_telemetry,59,494.25
delayed_telemetry,60,474.166
delayed_telemetry,61,479.29199999999997
delayed_telemetry,62,485.08300000000003
delayed_telemetry,63,459.375
delayed_telemetry,64,474
delayed_telemetry,65,482.75
delayed_telemetry,66,501.91699999999997
delayed_telemetry,67,464.75
delayed_telemetry,68,484.666
delayed_telemetry,69,495.084
delayed_telemetry,70,523.5
delayed_telemetry,71,535.20799999999997
delayed_telemetry,72,510.20800000000003
delayed_telemetry,73,492.166
delayed_telemetry,74,497.08300000000003
delayed_telemetry,75,507.70800000000003
delayed_telemetry,76,499.875
delayed_telemetry,77,507.20800000000003
delayed_telemetry,78,538.29200000000003
delayed_telemetry,79,539.58399999999995
delayed_telemetry,80,518.58299999999997
delayed_telemetry,81,557.20799999999997
