replicate_id,motion_seed,fault_seed,scenario_id,method,requests,accepted,true_accepts,false_accepts,true_rejects,false_rejects,enclosures_tested,containment_failures
24,6139046086183888228,13196154388860450241,0,0,100,100,100,0,0,0,0,0
24,6139046086183888228,13196154388860450241,0,1,100,100,100,0,0,0,0,0
24,6139046086183888228,13196154388860450241,0,2,100,99,99,0,0,1,297,0
25,14852878865191795913,17150818894845185236,0,0,100,100,100,0,0,0,0,0
25,14852878865191795913,17150818894845185236,0,1,100,100,100,0,0,0,0,0
25,14852878865191795913,17150818894845185236,0,2,100,99,99,0,0,1,297,0
26,10759014571150830798,10760137854964517067,0,0,100,100,100,0,0,0,0,0
26,10759014571150830798,10760137854964517067,0,1,100,100,100,0,0,0,0,0
26,10759014571150830798,10760137854964517067,0,2,100,99,99,0,0,1,297,0
27,3714909113697100947,1450417065518967902,0,0,100,100,100,0,0,0,0,0
27,3714909113697100947,1450417065518967902,0,1,100,100,100,0,0,0,0,0
27,3714909113697100947,1450417065518967902,0,2,100,99,99,0,0,1,297,0
28,15638994699027385520,4394528905740698933,0,0,100,100,100,0,0,0,0,0
28,15638994699027385520,4394528905740698933,0,1,100,100,100,0,0,0,0,0
28,15638994699027385520,4394528905740698933,0,2,100,99,99,0,0,1,297,0
29,10786533052122665045,15755696789134647928,0,0,100,100,100,0,0,0,0,0
29,10786533052122665045,15755696789134647928,0,1,100,100,100,0,0,0,0,0
29,10786533052122665045,15755696789134647928,0,2,100,99,99,0,0,1,297,0
30,17411780308251417786,8336735942862214047,0,0,100,100,100,0,0,0,0,0
30,17411780308251417786,8336735942862214047,0,1,100,100,100,0,0,0,0,0
30,17411780308251417786,8336735942862214047,0,2,100,99,99,0,0,1,297,0
31,14960714582419432383,8802224883625929026,0,0,100,100,100,0,0,0,0,0
31,14960714582419432383,8802224883625929026,0,1,100,100,100,0,0,0,0,0
31,14960714582419432383,8802224883625929026,0,2,100,99,99,0,0,1,297,0
32,10781159969224193356,10890485078419056089,0,0,100,100,100,0,0,0,0,0
32,10781159969224193356,10890485078419056089,0,1,100,100,100,0,0,0,0,0
32,10781159969224193356,10890485078419056089,0,2,100,99,99,0,0,1,297,0
33,11728230447752747985,2085226741469143916,0,0,100,100,100,0,0,0,0,0
33,11728230447752747985,2085226741469143916,0,1,100,100,100,0,0,0,0,0
33,11728230447752747985,2085226741469143916,0,2,100,99,99,0,0,1,297,0
34,8945314669155935606,2985903491126206659,0,0,100,100,100,0,0,0,0,0
34,8945314669155935606,2985903491126206659,0,1,100,100,100,0,0,0,0,0
34,8945314669155935606,2985903491126206659,0,2,100,99,99,0,0,1,297,0
35,227496352486774043,17927692744347032214,0,0,100,100,100,0,0,0,0,0
35,227496352486774043,17927692744347032214,0,1,100,100,100,0,0,0,0,0
